video_id,title,description,ingredients,methods,transcript
o059HJ8ETis,झणझणीत चिकन थाळी नवीन गॅसशेगडी वर Chicken Curry Faber Hob Gas Stove wid 3Stove Burner @FaberSpaIndia,"झणझणीत चिकन थाळी नवीन गॅसशेगडी वर Chicken Curry Faber Hob Gas Stove wid 3Stove Burner @FaberSpaIndia

Shop Now: https://shorturl.at/BkaSM

Nothing beats a homemade Chicken Curry slowly cooked to juicy perfection on my Faber Hob Glass Stove 3 Burner! The automatic gas stove ensures even cooking, while the magic lift burners make cleaning super easy. The precise flame adjustments make cooking easy and give the chicken a tenderness that later melts in the mouth. Plus, with FFD safety, I can focus on flavours without worries. Cooking just got smarter and smoother! 

@FaberSpaIndia

For chicken marination & Chicken stock -
 • Chicken 1/2 kg 
 • Turmeric 1 tsp 
 • Salt 1 tsp
 • Oil 1 tbsp 
 • Onion 1 med (finely chopped) 
 • Water 
For Watan / Gravy 
 • Dry coconut 1/2 cup grated 
 • Onion sliced 3 med onion sliced 
 • Tomatoes 1 med sliced 
 • Garlic 15-20 cloves 
 • Ginger 2 inch 
 • Fresh coriander 1/4 cup 
 • Red chilly powder 1 tsp 
 • Kanda lahsun masala 2-3 tsp 

 • For Curry 
 • Oil 4 tbsp 
 • water 
 • Cooked chicken 
 • Salt 
 • Chopped fresh coriander 

To Marinate chicken & chicken stock -
 • Take washed chicken into a bowl, to this add turmeric & salt  mix well & keep it for marination for 30 minutes
 • After marination, heat up some oil into a vessel, add chopped onions and saute 
 • then add marinated chicken, saute on high flame for couple of minutes
 • then cover with a lid, pour some water onto the lid and cook on low flame for 3-4 mins
 • then add water from the plate to the chicken, add more hot water and cook chicken on low flame
For Making watan -
 • Dry roast dry coconut and take it out
 • then add some oil, add sliced onions and roast the onions then add tomatoes and saute tomatoes along with the onions
 • allow the roasted ingredients to cool down
 • then take roasted coconut, onions & tomatoes to the grinding jar, to this add garlic, ginger, fresh coriander , red chilly pw & kanda Lasun, masla add some water and grind to fine paste
To make curry -
 • Heat up some oil, add ready watan / gravy and saute until watan release the oil 
 • then add cooked chicken, salt & water if required and cook for 5-6 minutes
 • At last add chopped fresh coriander and our delicious chicken curry is ready
 • Enjoy with jowar roti or rice

#MagicisintheMaking #FaberHOB #RecipeVideos #ChickenCurry #ShopNow #Recipe #3BurnerHOB #GlassStove3Burner #saritaskitchen

#saritaskitchen  #सरिताकिचन

For collaboration enquiries – saritaskitchen18@gmail.com",Not available,Not available,"Error fetching transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=o059HJ8ETis! This is most likely caused by:

No transcripts were found for any of the requested language codes: ['en', 'hi', 'hi-IN']

For this video (o059HJ8ETis) transcripts are available in the following languages:

(MANUALLY CREATED)
None

(GENERATED)
 - mr (""Marathi (auto-generated)"")[TRANSLATABLE]

(TRANSLATION LANGUAGES)
 - ab (""Abkhazian"")
 - aa (""Afar"")
 - af (""Afrikaans"")
 - ak (""Akan"")
 - sq (""Albanian"")
 - am (""Amharic"")
 - ar (""Arabic"")
 - hy (""Armenian"")
 - as (""Assamese"")
 - ay (""Aymara"")
 - az (""Azerbaijani"")
 - bn (""Bangla"")
 - ba (""Bashkir"")
 - eu (""Basque"")
 - be (""Belarusian"")
 - bho (""Bhojpuri"")
 - bs (""Bosnian"")
 - br (""Breton"")
 - bg (""Bulgarian"")
 - my (""Burmese"")
 - ca (""Catalan"")
 - ceb (""Cebuano"")
 - zh-Hans (""Chinese (Simplified)"")
 - zh-Hant (""Chinese (Traditional)"")
 - co (""Corsican"")
 - hr (""Croatian"")
 - cs (""Czech"")
 - da (""Danish"")
 - dv (""Divehi"")
 - nl (""Dutch"")
 - dz (""Dzongkha"")
 - en (""English"")
 - eo (""Esperanto"")
 - et (""Estonian"")
 - ee (""Ewe"")
 - fo (""Faroese"")
 - fj (""Fijian"")
 - fil (""Filipino"")
 - fi (""Finnish"")
 - fr (""French"")
 - gaa (""Ga"")
 - gl (""Galician"")
 - lg (""Ganda"")
 - ka (""Georgian"")
 - de (""German"")
 - el (""Greek"")
 - gn (""Guarani"")
 - gu (""Gujarati"")
 - ht (""Haitian Creole"")
 - ha (""Hausa"")
 - haw (""Hawaiian"")
 - iw (""Hebrew"")
 - hi (""Hindi"")
 - hmn (""Hmong"")
 - hu (""Hungarian"")
 - is (""Icelandic"")
 - ig (""Igbo"")
 - id (""Indonesian"")
 - iu (""Inuktitut"")
 - ga (""Irish"")
 - it (""Italian"")
 - ja (""Japanese"")
 - jv (""Javanese"")
 - kl (""Kalaallisut"")
 - kn (""Kannada"")
 - kk (""Kazakh"")
 - kha (""Khasi"")
 - km (""Khmer"")
 - rw (""Kinyarwanda"")
 - ko (""Korean"")
 - kri (""Krio"")
 - ku (""Kurdish"")
 - ky (""Kyrgyz"")
 - lo (""Lao"")
 - la (""Latin"")
 - lv (""Latvian"")
 - ln (""Lingala"")
 - lt (""Lithuanian"")
 - lua (""Luba-Lulua"")
 - luo (""Luo"")
 - lb (""Luxembourgish"")
 - mk (""Macedonian"")
 - mg (""Malagasy"")
 - ms (""Malay"")
 - ml (""Malayalam"")
 - mt (""Maltese"")
 - gv (""Manx"")
 - mi (""Māori"")
 - mr (""Marathi"")
 - mn (""Mongolian"")
 - mfe (""Morisyen"")
 - ne (""Nepali"")
 - new (""Newari"")
 - nso (""Northern Sotho"")
 - no (""Norwegian"")
 - ny (""Nyanja"")
 - oc (""Occitan"")
 - or (""Odia"")
 - om (""Oromo"")
 - os (""Ossetic"")
 - pam (""Pampanga"")
 - ps (""Pashto"")
 - fa (""Persian"")
 - pl (""Polish"")
 - pt (""Portuguese"")
 - pt-PT (""Portuguese (Portugal)"")
 - pa (""Punjabi"")
 - qu (""Quechua"")
 - ro (""Romanian"")
 - rn (""Rundi"")
 - ru (""Russian"")
 - sm (""Samoan"")
 - sg (""Sango"")
 - sa (""Sanskrit"")
 - gd (""Scottish Gaelic"")
 - sr (""Serbian"")
 - crs (""Seselwa Creole French"")
 - sn (""Shona"")
 - sd (""Sindhi"")
 - si (""Sinhala"")
 - sk (""Slovak"")
 - sl (""Slovenian"")
 - so (""Somali"")
 - st (""Southern Sotho"")
 - es (""Spanish"")
 - su (""Sundanese"")
 - sw (""Swahili"")
 - ss (""Swati"")
 - sv (""Swedish"")
 - tg (""Tajik"")
 - ta (""Tamil"")
 - tt (""Tatar"")
 - te (""Telugu"")
 - th (""Thai"")
 - bo (""Tibetan"")
 - ti (""Tigrinya"")
 - to (""Tongan"")
 - ts (""Tsonga"")
 - tn (""Tswana"")
 - tum (""Tumbuka"")
 - tr (""Turkish"")
 - tk (""Turkmen"")
 - uk (""Ukrainian"")
 - ur (""Urdu"")
 - ug (""Uyghur"")
 - uz (""Uzbek"")
 - ve (""Venda"")
 - vi (""Vietnamese"")
 - war (""Waray"")
 - cy (""Welsh"")
 - fy (""Western Frisian"")
 - wo (""Wolof"")
 - xh (""Xhosa"")
 - yi (""Yiddish"")
 - yo (""Yoruba"")
 - zu (""Zulu"")

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
,,,,,
3A8IOEHyFtY,Best Chicken Curry Recipe | Chicken curry recipe | how to make Chicken curry | Chicken recipe,"Best Chicken Curry Recipe | Chicken curry recipe | how to make Chicken curry | Chicken recipe














your queries:-

chicken curry | how to make chicken curry | easy chicken curry | chicken curry recipe | chicken curry recipe in hindi | dhaba style chicken curry | chicken recipe | chicken curry kaise banaye | spicy chicken curry | chicken masala | easy chicken curry recipe | punjabi chicken curry | chicken curry restaurant style | pressure cooker chicken curry | 
















#chicken #CurryNonGravy #chickencurry #chickenbiryani #chickencurryrecipe #chickengravy #chickenmasala #chickenrecipe  #chickenrecipes",Not available,Not available,[Music] thank you [Music] foreign [Music] [Music] foreign [Music] foreign [Music]
jwyge5daKUQ,CHICKEN CURRY FOR BACHELORS | SIMPLE CHICKEN CURRY FOR BEGINNERS | CHICKEN GRAVY,"Chicken Curry For Bachelors | Simple Chicken Curry For Beginners | Chicken Gravy | Chicken Curry | Bachelor Chicken Curry | Chicken Masala Powder Curry | Easy Chicken Curry | Chicken Masala

***********************
For Vegetarian Recipes follow our sister channel @SpiceSwad 
***********************

Ingredients for Simple Chicken Curry:

- Chicken- 1 kg
- Onion, rough chopped- 4 medium
- Ginger, crushed- 2 tsp
- Garlic, crushed- 2 tsp
- Tomatoes, roughly chopped- 3 medium
- Green chillies, thick chopped- 3 nos.

- Turmeric powder- 1/2 tsp
- Red Chilli Powder- 1.5 tsp
- Readymade Chicken Masala- 1 tbsp (store bought)

- Salt- 1.5 tsp
- Refined Oil- 4-5 tbsp 

Preparation:

- Clean & wash the chicken pieces and keep it to drain.
- Roughly chop the onions, tomatoes and green chillies.
- Peel and crush the ginger and garlic cloves.

Process:

- Heat oil in a pan or kadai and add the chopped onions.
- Fry on high heat for 10 mins till brown in colour.
- Add the crushed ginger and garlic and fry on medium heat for 2 mins.
- Add the chopped tomatoes and green chillies and fry on medium heat for 2 mins.
- Add the turmeric powder and mix & fry on medium heat for around 3 mins till tomatoes are soft.
- Now add the chicken pieces and fry on high heat for 2-3 mins till the chicken pieces are browned.
- Add the readymade chicken masala, red Chilli powder and salt, mix and bhunno on high heat for 5 mins. Continue to fry on medium heat for another 5 mins.
- Now add 200 ml water and cook on low heat for around 20 mins till the chicken pieces are tender and oil separates. 


#chickencurry #simplechickencurry #chickengravy #bachelorchickencurry  #easychickencurry #spiceeats #spiceeatsrecipes #spiceeatschicken",Not available,Not available,[Music] [Applause] [Music] so [Music] so [Music] so [Music] so [Music] so [Music] [Music] you
01hBjAROSs0,Dhaba Style Chicken Masala😍 #shorts #chicken #viral,,Not available,Not available,हो चांद चाहूं ना चकोरा ना फलका टुकड़ा टुकड़ा टुकड़ा नूर चाहूं ना मैं हरी ना परीशा मुखड़ा मुखड़ा मुखड़ा संग संग चल दे संग संग चक ले मीठा मीठा हर सुख हर दुखड़ा उसे खवाबों से जगाऊ उसे बाहों में सुनाऊ सर आंखों पे बिठाऊ उसे हाथों से खिलाऊ ता उमर दिल ने दस्तरखान बिछाया ओ दिल ने दस्तरखान बिछाया दावत इश्क है दिल ने दस्तरखान बिछाया दावत इश्क है
Iramm5zL7ls,Simple chicken curry 🍛,"Simple Chicken Curry

Ingredients:
- 2 red onions, thinly sliced
- 5 cloves garlic, finely chopped
- 1kg (35 oz) chicken thighs, skinless and diced
- 4 tomatoes, diced
- 2 tbsp oil
- 2 tsp garam masala
- 2 tsp curry powder
- 1 tsp cumin
- 1 tsp chilli powder if you like it spicy
- 400ml (14 oz) water
- salt to taste
- rice, to serve
- optional: yoghurt and coriander for garnish

Method:
1. Heat a large pot over high heat and add the oil. Once the oil is hot, add the chicken with a big pinch of salt. Sauté over medium-high heat until the chicken is sealed on the outside, then remove the chicken from the pan and set aside.
2. Using the same pan, add a little more oil if needed, and place it back over high heat. Add the onions and cook for 3-4 minutes until they start to brown, then add the garlic and cook for another 1-2 minutes.
3. Next, add the spices (garam masala, curry powder, and cumin) and the diced tomatoes. Stir well, making sure to scrape up any browned bits from the bottom of the pan.
4. Pour in the water and bring to a simmer. Cook for 10–12 minutes until the tomatoes and onions are completely soft.
5. (Optional) For a smooth gravy, blend the sauce at this stage using a hand blender.
6. Add the chicken back to the sauce and continue to cook for 10–12 minutes until the chicken is fully cooked through.
7. Taste and adjust the seasoning with salt if needed.
8. Serve the curry with rice, and optionally garnish with yoghurt and fresh coriander.","- 2 red onions, thinly sliced
- 5 cloves garlic, finely chopped
- 1kg (35 oz) chicken thighs, skinless and diced
- 4 tomatoes, diced
- 2 tbsp oil
- 2 tsp garam masala
- 2 tsp curry powder
- 1 tsp cumin
- 1 tsp chilli powder if you like it spicy
- 400ml (1","1. Heat a large pot over high heat and add the oil. Once the oil is hot, add the chicken with a big pinch of salt. Sauté over medium-high heat until the chicken is sealed on the outside, then remove the chicken from the pan and set aside.
2. Using the same pan, add a little more oil if needed, and place it back over high heat. Add the onions and cook for 3-4 minutes until they start to brown, then add the garlic and cook for another 1-2 minutes.
3. Next, add the spices (garam masala, curry powder, and cumin) and the diced tomatoes. Stir well, making sure to scrape up any browned bits from the bottom of the pan.
4. Pour in the water and bring to a simmer. Cook for 10–12 minutes until the tomatoes and onions are completely soft.
5. (Optional) For a smooth gravy, blend the sauce at this stage using a hand blender.
6. Add the chicken back to the sauce and continue to cook for 10–12 minutes until the chicken is fully cooked through.
7. Taste and adjust the seasoning with salt if needed.
8. Serve the curry with rice, and optionally garnish with yoghurt and fresh coriander.",Not required
INCjNZHcsyc,Punjabi Chicken Curry #shorts,,Not available,Not available,foreign [Music] [Applause] [Music] thank you
F2Wvnxbv14o,Traditional Chicken Curry Recipe 😋,Traditional Chicken Curry Recipe 😋,Not available,Not available,[Music] thank you [Music] foreign
fAtVmoj86xk,Super Delicious Chicken Recipe | Chicken Maharani | Restaurant Style Chicken Curry | चिकन रेसिपी,"Super Delicious Chicken Recipe | Chicken Maharani | Restaurant Style Chicken Curry | चिकन रेसिपी | चिकन मसाला | chicken curry recipe | butter chicken | chicken changezi 

#chicken #chickenrecipe #chickencurry #recipe #cookingwithsayyada #chickennihari",Not available,Not available,"Error fetching transcript: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=fAtVmoj86xk! This is most likely caused by:

No transcripts were found for any of the requested language codes: ['en', 'hi', 'hi-IN']

For this video (fAtVmoj86xk) transcripts are available in the following languages:

(MANUALLY CREATED)
None

(GENERATED)
 - pa (""Punjabi (auto-generated)"")[TRANSLATABLE]

(TRANSLATION LANGUAGES)
 - ab (""Abkhazian"")
 - aa (""Afar"")
 - af (""Afrikaans"")
 - ak (""Akan"")
 - sq (""Albanian"")
 - am (""Amharic"")
 - ar (""Arabic"")
 - hy (""Armenian"")
 - as (""Assamese"")
 - ay (""Aymara"")
 - az (""Azerbaijani"")
 - bn (""Bangla"")
 - ba (""Bashkir"")
 - eu (""Basque"")
 - be (""Belarusian"")
 - bho (""Bhojpuri"")
 - bs (""Bosnian"")
 - br (""Breton"")
 - bg (""Bulgarian"")
 - my (""Burmese"")
 - ca (""Catalan"")
 - ceb (""Cebuano"")
 - zh-Hans (""Chinese (Simplified)"")
 - zh-Hant (""Chinese (Traditional)"")
 - co (""Corsican"")
 - hr (""Croatian"")
 - cs (""Czech"")
 - da (""Danish"")
 - dv (""Divehi"")
 - nl (""Dutch"")
 - dz (""Dzongkha"")
 - en (""English"")
 - eo (""Esperanto"")
 - et (""Estonian"")
 - ee (""Ewe"")
 - fo (""Faroese"")
 - fj (""Fijian"")
 - fil (""Filipino"")
 - fi (""Finnish"")
 - fr (""French"")
 - gaa (""Ga"")
 - gl (""Galician"")
 - lg (""Ganda"")
 - ka (""Georgian"")
 - de (""German"")
 - el (""Greek"")
 - gn (""Guarani"")
 - gu (""Gujarati"")
 - ht (""Haitian Creole"")
 - ha (""Hausa"")
 - haw (""Hawaiian"")
 - iw (""Hebrew"")
 - hi (""Hindi"")
 - hmn (""Hmong"")
 - hu (""Hungarian"")
 - is (""Icelandic"")
 - ig (""Igbo"")
 - id (""Indonesian"")
 - iu (""Inuktitut"")
 - ga (""Irish"")
 - it (""Italian"")
 - ja (""Japanese"")
 - jv (""Javanese"")
 - kl (""Kalaallisut"")
 - kn (""Kannada"")
 - kk (""Kazakh"")
 - kha (""Khasi"")
 - km (""Khmer"")
 - rw (""Kinyarwanda"")
 - ko (""Korean"")
 - kri (""Krio"")
 - ku (""Kurdish"")
 - ky (""Kyrgyz"")
 - lo (""Lao"")
 - la (""Latin"")
 - lv (""Latvian"")
 - ln (""Lingala"")
 - lt (""Lithuanian"")
 - lua (""Luba-Lulua"")
 - luo (""Luo"")
 - lb (""Luxembourgish"")
 - mk (""Macedonian"")
 - mg (""Malagasy"")
 - ms (""Malay"")
 - ml (""Malayalam"")
 - mt (""Maltese"")
 - gv (""Manx"")
 - mi (""Māori"")
 - mr (""Marathi"")
 - mn (""Mongolian"")
 - mfe (""Morisyen"")
 - ne (""Nepali"")
 - new (""Newari"")
 - nso (""Northern Sotho"")
 - no (""Norwegian"")
 - ny (""Nyanja"")
 - oc (""Occitan"")
 - or (""Odia"")
 - om (""Oromo"")
 - os (""Ossetic"")
 - pam (""Pampanga"")
 - ps (""Pashto"")
 - fa (""Persian"")
 - pl (""Polish"")
 - pt (""Portuguese"")
 - pt-PT (""Portuguese (Portugal)"")
 - pa (""Punjabi"")
 - qu (""Quechua"")
 - ro (""Romanian"")
 - rn (""Rundi"")
 - ru (""Russian"")
 - sm (""Samoan"")
 - sg (""Sango"")
 - sa (""Sanskrit"")
 - gd (""Scottish Gaelic"")
 - sr (""Serbian"")
 - crs (""Seselwa Creole French"")
 - sn (""Shona"")
 - sd (""Sindhi"")
 - si (""Sinhala"")
 - sk (""Slovak"")
 - sl (""Slovenian"")
 - so (""Somali"")
 - st (""Southern Sotho"")
 - es (""Spanish"")
 - su (""Sundanese"")
 - sw (""Swahili"")
 - ss (""Swati"")
 - sv (""Swedish"")
 - tg (""Tajik"")
 - ta (""Tamil"")
 - tt (""Tatar"")
 - te (""Telugu"")
 - th (""Thai"")
 - bo (""Tibetan"")
 - ti (""Tigrinya"")
 - to (""Tongan"")
 - ts (""Tsonga"")
 - tn (""Tswana"")
 - tum (""Tumbuka"")
 - tr (""Turkish"")
 - tk (""Turkmen"")
 - uk (""Ukrainian"")
 - ur (""Urdu"")
 - ug (""Uyghur"")
 - uz (""Uzbek"")
 - ve (""Venda"")
 - vi (""Vietnamese"")
 - war (""Waray"")
 - cy (""Welsh"")
 - fy (""Western Frisian"")
 - wo (""Wolof"")
 - xh (""Xhosa"")
 - yi (""Yiddish"")
 - yo (""Yoruba"")
 - zu (""Zulu"")

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
RYTSgBizmN8,"SPICY CHICKEN LOLLIPOP MASALA CURRY, 2 SPICY WHOLE CHICKEN CURRY WITH CHILLI OIL EGGS &amp; BASMATI RICE","COOKING AND EATING 😋 SPICY CHICKEN LOLLIPOP MASALA CURRY RECIPE 🔥
https://youtu.be/mVpCLCnMK7Y

Whole Chicken Curry Recipe 

https://youtu.be/yjZ_uoxhlm8?si=oFd8b8mc_mByCmh_",Not available,Not available,Transcript not available (disabled for this video).
